"iso3","country","year","agricultural_land_pct","forest_area_pct","population","urban_population_pct","fertilizer_kg_ha","livestock_index","cereal_yield","ghg_emissions"
"BGD","Bangladesh",2003,71.6601367442575,14.6787454866713,140970351,24.5525557512625,160.266893534273,51.81,3479.8,112.9936
"BGD","Bangladesh",2004,71.6217254359684,14.6541730045325,142902856,25.0094809886101,170.671374186418,52.74,3439.4,115.5867
"BGD","Bangladesh",2005,71.5295382960744,14.6296005223938,144715786,25.4769540701509,192.872642090988,55.07,3663.6,119.6731
"BGD","Bangladesh",2006,71.2913881846816,14.6050280402551,146405973,25.9479149992596,188.408168316832,55.91,3710.5,124.1989
"BGD","Bangladesh",2007,71.1838365214719,14.5804555581163,147989278,26.415303779311,179.81000499002,56.94,3783.1,128.7306
"BGD","Bangladesh",2008,71.0839671199201,14.5558830759776,149474264,26.87206041368,195.064350868424,60.65,4154.3,135.7709
"BGD","Bangladesh",2009,71.0301912883153,14.5313098256127,150873714,27.3111249057412,184.290524471148,57.98,4126.4,140.7133
"BGD","Bangladesh",2010,70.9917799800261,14.5067373434739,152201981,27.7254372588696,208.024322968907,60.74,4262.6,148.3306
"BGD","Bangladesh",2011,70.1236844126911,14.4991441960513,153591076,28.1100162712427,249.746915935394,66.21,4367.1,153.3106
"BGD","Bangladesh",2012,70.0622263194284,14.4915510486287,155070101,28.4787972894576,254.30935709739,71.61,4396.5,158.7052
"BGD","Bangladesh",2013,69.9700391795345,14.4839579012061,156532141,28.8407036106763,253.280642653537,83.42,4492.1,161.7984
"BGD","Bangladesh",2014,69.900898824614,14.4763647537835,157964929,29.1944442321013,278.132224964281,94.13,4558.8,168.312
"BGD","Bangladesh",2015,70.3867250518553,14.4687716063609,159383179,29.5395099477892,297.810941171621,101.1,4588.2,177.4623
"BGD","Bangladesh",2016,70.6323269570562,14.4687716063609,160811932,29.8753915517965,288.288357639838,104.77,4624,186.2098
